recipe_slug	recipe_tag
sujebi	koreancuisine
sujebi	seafood
sujebi	soup
sujebi	vegetables
peanut-butter-cupcakes	baking
peanut-butter-cupcakes	cupcakes
peanut-butter-cupcakes	dessert
peanut-butter-cupcakes	frosting
peanut-butter-cupcakes	indulgent
peanut-butter-cupcakes	peanutbutter
peanut-butter-cupcakes	sweet
croissants	bakery
croissants	breakfast
croissants	brunch
croissants	buttery
croissants	croissants
croissants	flaky
croissants	frenchpastry
croissants	laminateddough
butter-croissants	baking
butter-croissants	breakfast
butter-croissants	brunch
butter-croissants	french
butter-croissants	pastry
cranberry-relish	christmas
cranberry-relish	citrus
cranberry-relish	condiment
cranberry-relish	cranberry
cranberry-relish	holiday
cranberry-relish	relish
cranberry-relish	sidedish
cranberry-relish	sweet
cranberry-relish	tangy
cranberry-relish	thanksgiving
lasagna	baked
lasagna	cheese
lasagna	comfortfood
lasagna	italian
lasagna	meat
lasagna	pasta
nacho-fries	appetizers
nacho-fries	cheese
nacho-fries	chicken
nacho-fries	fries
nacho-fries	gamedayfood
nacho-fries	groundbeef
nacho-fries	jalapenos
nacho-fries	nachos
nacho-fries	snacks
nacho-fries	sourcream
nacho-fries	tomatoes
chicken-nuggets	breaded
chicken-nuggets	chicken
chicken-nuggets	crispy
chicken-nuggets	fastfood
chicken-nuggets	fried
chicken-nuggets	meal
chicken-nuggets	snack
chicken-nuggets	tender
french-toast	breakfast
french-toast	brunch
french-toast	classic
french-toast	easy
french-toast	quick
french-toast	savory
french-toast	sweet
cold-noodles-with-tomatoes	coldnoodles
cold-noodles-with-tomatoes	cucumber
cold-noodles-with-tomatoes	garlic
cold-noodles-with-tomatoes	greenonion
cold-noodles-with-tomatoes	ricevinegar
cold-noodles-with-tomatoes	sesameoil
cold-noodles-with-tomatoes	sesameseeds
cold-noodles-with-tomatoes	soysauce
cold-noodles-with-tomatoes	tomatoes
chicken-fingers	appetizer
chicken-fingers	chicken
chicken-fingers	crispy
chicken-fingers	fingerfood
chicken-fingers	fried
chicken-fingers	kidfriendly
bacon-wrapped-chicken	bacon
bacon-wrapped-chicken	baked
bacon-wrapped-chicken	chicken
bacon-wrapped-chicken	crispy
bacon-wrapped-chicken	easy
bacon-wrapped-chicken	herbs
bacon-wrapped-chicken	juicy
bacon-wrapped-chicken	savory
bacon-wrapped-chicken	smoky
bacon-wrapped-chicken	spices
spamburger	cheese
spamburger	fried
spamburger	grilled
spamburger	hamburger
spamburger	hawaii
spamburger	ketchup
spamburger	lettuce
spamburger	mayonnaise
spamburger	pacificislands
spamburger	spam
spamburger	tomato
peach-cobbler	cobbler
peach-cobbler	comfortfood
peach-cobbler	dessert
peach-cobbler	peach
peach-cobbler	southern
berry-crumble	baking
berry-crumble	crumble
berry-crumble	dessert
berry-crumble	easy
berry-crumble	fruit
berry-crumble	summer
bacon-fried-rice	bacon
bacon-fried-rice	breakfast
bacon-fried-rice	dinner
bacon-fried-rice	eggs
bacon-fried-rice	filling
bacon-fried-rice	friedrice
bacon-fried-rice	lunch
bacon-fried-rice	savory
bacon-fried-rice	smoky
bacon-fried-rice	soysauce
bacon-fried-rice	vegetables
berry-crisp	berries
berry-crisp	crisp
berry-crisp	crumble
berry-crisp	dessert
berry-crisp	easy
berry-crisp	fruit
berry-crisp	quick
berry-crisp	summer
bacon-mac-and-cheese	bacon
bacon-mac-and-cheese	cheese
bacon-mac-and-cheese	comfortfood
bacon-mac-and-cheese	creamy
bacon-mac-and-cheese	macandcheese
bacon-mac-and-cheese	pasta
bacon-mac-and-cheese	salty
bacon-mac-and-cheese	smoky
nacho-casserole	casserole
nacho-casserole	easy
nacho-casserole	familyfriendly
nacho-casserole	mexican
nacho-casserole	nachos
cold-soba-noodles-with-tomato-and-cucumber	asiancuisine
cold-soba-noodles-with-tomato-and-cucumber	coldnoodles
cold-soba-noodles-with-tomato-and-cucumber	cucumber
cold-soba-noodles-with-tomato-and-cucumber	sobanoodles
cold-soba-noodles-with-tomato-and-cucumber	tomato
cold-soba-noodles-with-tomato-and-cucumber	vegan
cold-soba-noodles-with-tomato-and-cucumber	vegetarian
tacos	beef
tacos	cheese
tacos	lettuce
tacos	mexican
tacos	onion
tacos	salsa
tacos	sourcream
tacos	streetfood
tacos	tacos
tacos	tomato
ma-la-chicken	chicken
ma-la-chicken	chilioil
ma-la-chicken	chinesecookingwine
ma-la-chicken	cilantro
ma-la-chicken	garlic
ma-la-chicken	ginger
ma-la-chicken	numbing
ma-la-chicken	scallions
ma-la-chicken	sichuancuisine
ma-la-chicken	sichuanpeppercorns
ma-la-chicken	soysauce
ma-la-chicken	spicy
blueberry-crumble	baking
blueberry-crumble	blueberry
blueberry-crumble	crumble
blueberry-crumble	dessert
blueberry-crumble	fruit
chicken-alfredo-lasagna	alfredo
chicken-alfredo-lasagna	chicken
chicken-alfredo-lasagna	comfortfood
chicken-alfredo-lasagna	italiancuisine
chicken-alfredo-lasagna	lasagna
chicken-alfredo-lasagna	pasta
ramen	boiledeggs
ramen	bokchoy
ramen	carrots
ramen	comfortfood
ramen	greenonions
ramen	japanesecuisine
ramen	miso
ramen	mushrooms
ramen	noodlesoup
ramen	porkbelly
ramen	ramen
ramen	soysauce
bacon-chocolate-chip-cookies	bacon
bacon-chocolate-chip-cookies	chocolate
bacon-chocolate-chip-cookies	cookies
bacon-chocolate-chip-cookies	dessert
bacon-chocolate-chip-cookies	sweetandsalty
nachos	appetizer
nachos	beans
nachos	cheese
nachos	guacamole
nachos	meat
nachos	mexican
nachos	salsa
nachos	snack
nachos	sourcream
guacamole	avocado
guacamole	cilantro
guacamole	dip
guacamole	lime
guacamole	mexican
guacamole	onion
guacamole	spicy
guacamole	tomato
guacamole	vegan
guacamole	vegetarian
udon	glutenfree
udon	japanesecuisine
udon	noodles
udon	soup
udon	vegan
udon	vegetarian
quiche-lorraine	bacon
quiche-lorraine	breakfast
quiche-lorraine	brunch
quiche-lorraine	custard
quiche-lorraine	frenchcuisine
quiche-lorraine	gruyerecheese
quiche-lorraine	pastrycrust
quiche-lorraine	savory
cherry-cobbler	baking
cherry-cobbler	cherry
cherry-cobbler	cobbler
cherry-cobbler	comfortfood
cherry-cobbler	dessert
cherry-cobbler	fruit
strawberry-rhubarb-crisp	buttery
strawberry-rhubarb-crisp	crisp
strawberry-rhubarb-crisp	dessert
strawberry-rhubarb-crisp	fruit
strawberry-rhubarb-crisp	oat
strawberry-rhubarb-crisp	refreshing
strawberry-rhubarb-crisp	rhubarb
strawberry-rhubarb-crisp	strawberry
strawberry-rhubarb-crisp	sweet
strawberry-rhubarb-crisp	tangy
nacho-dip	appetizers
nacho-dip	cheese
nacho-dip	dip
nacho-dip	mexicancuisine
nacho-dip	nachos
nacho-dip	partyfood
chiles-rellenos	cheese
chiles-rellenos	friedfood
chiles-rellenos	mexicancuisine
chiles-rellenos	spicyfood
chiles-rellenos	stuffedpeppers
vegetarian-mushroom-lasagna	comfortfood
vegetarian-mushroom-lasagna	italian
vegetarian-mushroom-lasagna	lasagna
vegetarian-mushroom-lasagna	mushroom
vegetarian-mushroom-lasagna	pasta
vegetarian-mushroom-lasagna	vegetarian
brioche-bread-with-chocolate	baking
brioche-bread-with-chocolate	bread
brioche-bread-with-chocolate	breakfast
brioche-bread-with-chocolate	brioche
brioche-bread-with-chocolate	chocolate
brioche-bread-with-chocolate	dessert
brioche-bread-with-chocolate	pastry
brioche-bread-with-chocolate	sweet
almond-croissants	almond
almond-croissants	breakfast
almond-croissants	brunch
almond-croissants	buttery
almond-croissants	flaky
almond-croissants	french
almond-croissants	pastry
almond-croissants	sweet
danishes	breakfast
danishes	creamcheese
danishes	danish
danishes	dessert
danishes	fruit
danishes	hamandcheese
danishes	pastry
spinach-and-ricotta-stuffed-shells	bakeddishes
spinach-and-ricotta-stuffed-shells	comfortfood
spinach-and-ricotta-stuffed-shells	italian
spinach-and-ricotta-stuffed-shells	pasta
spinach-and-ricotta-stuffed-shells	vegetarian
pasta-primavera	italian
pasta-primavera	pasta
pasta-primavera	spring
pasta-primavera	vegetables
pasta-primavera	vegetarian
enchiladas	cheesy
enchiladas	comfortfood
enchiladas	easydinner
enchiladas	familyfriendly
enchiladas	mexicancuisine
enchiladas	spicy
cranberry-sauce	christmas
cranberry-sauce	condiment
cranberry-sauce	cranberry
cranberry-sauce	holiday
cranberry-sauce	sauce
cranberry-sauce	sidedish
cranberry-sauce	sweet
cranberry-sauce	tangy
cranberry-sauce	tart
cranberry-sauce	thanksgiving
cinnamon-babka	bread
cinnamon-babka	breakfast
cinnamon-babka	cinnamon
cinnamon-babka	dessert
cinnamon-babka	pastry
cinnamon-babka	sweet
maple-bacon-donuts	bacon
maple-bacon-donuts	breakfast
maple-bacon-donuts	dessert
maple-bacon-donuts	donuts
maple-bacon-donuts	maple
maple-bacon-donuts	sweetandsavory
peanut-butter-brownies	baking
peanut-butter-brownies	brownies
peanut-butter-brownies	chocolate
peanut-butter-brownies	dessert
peanut-butter-brownies	peanutbutter
falafel	appetizer
falafel	middleeastern
falafel	snack
falafel	streetfood
falafel	vegan
falafel	vegetarian
maple-bacon-pancakes	bacon
maple-bacon-pancakes	breakfast
maple-bacon-pancakes	brunch
maple-bacon-pancakes	maplesyrup
maple-bacon-pancakes	pancakes
maple-bacon-pancakes	sweetandsavory
bolognese-sauce	comfortfood
bolognese-sauce	italian
bolognese-sauce	meatsauce
bolognese-sauce	pastasauce
bolognese-sauce	tomatosauce
bacon-and-egg-breakfast-sandwich	bacon
bacon-and-egg-breakfast-sandwich	breakfast
bacon-and-egg-breakfast-sandwich	cheese
bacon-and-egg-breakfast-sandwich	egg
bacon-and-egg-breakfast-sandwich	sandwich
bacon-and-egg-breakfast-sandwich	toast
soba-noodle-salad-with-peanut-dressing	asiancuisine
soba-noodle-salad-with-peanut-dressing	glutenfree
soba-noodle-salad-with-peanut-dressing	peanutdressing
soba-noodle-salad-with-peanut-dressing	salad
soba-noodle-salad-with-peanut-dressing	sobanoodles
soba-noodle-salad-with-peanut-dressing	vegetarian
spinach-and-feta-quiche	breakfast
spinach-and-feta-quiche	brunch
spinach-and-feta-quiche	fetacheese
spinach-and-feta-quiche	piecrust
spinach-and-feta-quiche	quiche
spinach-and-feta-quiche	savory
spinach-and-feta-quiche	spinach
spinach-and-feta-quiche	vegetarian
cranberry-apple-crisp	apple
cranberry-apple-crisp	brownsugar
cranberry-apple-crisp	cinnamon
cranberry-apple-crisp	cranberry
cranberry-apple-crisp	crisp
cranberry-apple-crisp	dessert
cranberry-apple-crisp	fall
cranberry-apple-crisp	nutmeg
cranberry-apple-crisp	oat
cranberry-apple-crisp	winter
loaded-nachos	appetizers
loaded-nachos	gamedayfood
loaded-nachos	loadednachos
loaded-nachos	mexicanfood
loaded-nachos	nachos
loaded-nachos	partyfood
fajitas	chicken
fajitas	fajitaseasoning
fajitas	guacamole
fajitas	mexican
fajitas	onions
fajitas	peppers
fajitas	salsa
fajitas	sourcream
fajitas	texmex
fajitas	tortillas
souffle	baking
souffle	cheese
souffle	eggs
souffle	frenchcuisine
souffle	gruyere
souffle	parmesan
souffle	souffle
ma-la-beef	beef
ma-la-beef	chinesecuisine
ma-la-beef	numbing
ma-la-beef	sichuancuisine
ma-la-beef	spicy
ma-la-beef	stirfry
spinach-and-ricotta-lasagna	italian
spinach-and-ricotta-lasagna	lasagna
spinach-and-ricotta-lasagna	pasta
spinach-and-ricotta-lasagna	ricotta
spinach-and-ricotta-lasagna	spinach
spinach-and-ricotta-lasagna	vegetarian
almond-chip-cookies	almond
almond-chip-cookies	baking
almond-chip-cookies	chocolatechip
almond-chip-cookies	cookies
almond-chip-cookies	dessert
chocolate-babka	braided
chocolate-babka	breakfast
chocolate-babka	brunch
chocolate-babka	chocolate
chocolate-babka	decadent
chocolate-babka	dessert
chocolate-babka	easterneuropean
chocolate-babka	pastry
chocolate-babka	rich
chocolate-babka	twisted
chocolate-babka	yeastdough
peach-crisp	crisp
peach-crisp	dessert
peach-crisp	easy
peach-crisp	fruit
peach-crisp	homemade
peach-crisp	peach
peach-crisp	summer
bacon-wrapped-scallops	appetizer
bacon-wrapped-scallops	bacon
bacon-wrapped-scallops	baked
bacon-wrapped-scallops	easy
bacon-wrapped-scallops	grilled
bacon-wrapped-scallops	quick
bacon-wrapped-scallops	scallops
bacon-wrapped-scallops	seafood
pickled-asparagus	appetizer
pickled-asparagus	asparagus
pickled-asparagus	condiment
pickled-asparagus	pickledvegetables
pickled-asparagus	sidedish
pickled-asparagus	snack
mushroom-quiche	brunch
mushroom-quiche	creamy
mushroom-quiche	custardy
mushroom-quiche	dinner
mushroom-quiche	gruyerecheese
mushroom-quiche	lunch
mushroom-quiche	mushroom
mushroom-quiche	quiche
mushroom-quiche	savory
mushroom-quiche	vegetarian
apple-crumble	apple
apple-crumble	baked
apple-crumble	brownsugar
apple-crumble	buttery
apple-crumble	cinnamon
apple-crumble	comfortfood
apple-crumble	crumble
apple-crumble	dessert
apple-crumble	nutmeg
apple-crumble	oats
apple-crumble	sweet
apple-crumble	vanillaicecream
apple-crumble	whippedcream
apple-crisp	apple
apple-crisp	baked
apple-crisp	comfortfood
apple-crisp	crisp
apple-crisp	crumble
apple-crisp	dessert
apple-crisp	easy
apple-crisp	fall
apple-crisp	quick
apple-crisp	winter
spinach-quiche	breakfast
spinach-quiche	brunch
spinach-quiche	cheese
spinach-quiche	easy
spinach-quiche	eggs
spinach-quiche	healthy
spinach-quiche	quiche
spinach-quiche	spinach
spinach-quiche	vegetarian
chocolate-cake	baking
chocolate-cake	cake
chocolate-cake	chocolate
chocolate-cake	cocoapowder
chocolate-cake	dessert
chocolate-cake	frosting
nacho-salad	avocado
nacho-salad	beef
nacho-salad	cheese
nacho-salad	chicken
nacho-salad	mexican
nacho-salad	nachos
nacho-salad	salad
nacho-salad	sourcream
nacho-salad	tomatoes
nacho-salad	tortillachips
tempura-udon	comfortfood
tempura-udon	dashibroth
tempura-udon	japanesecuisine
tempura-udon	tempura
tempura-udon	udonnoodles
bacon-souffle	bacon
bacon-souffle	breakfast
bacon-souffle	brunch
bacon-souffle	cheese
bacon-souffle	eggs
bacon-souffle	souffle
