index	x	v	a	u
38	1.3890487474046927e-07	2.376999483909306e-08	-1.1668870177022024e-07	1.493643303897303e-07
39	1.6505186906347164e-07	-9.095491463042278e-08	6.070325403515023e-09	5.0224626462952635e-08
40	6.500146297000658e-08	-7.659486029867075e-08	5.18795217605239e-08	-2.3717546563983106e-08
41	-1.9252883358531265e-08	-1.941265313066614e-08	3.5721682028991494e-08	-3.786827054537286e-08
42	-4.060680180226402e-08	1.6842892815396124e-08	5.212406741055068e-09	-1.8238508450060756e-08
43	-2.2079619705328283e-08	2.0292775022359433e-08	-1.0681010189894106e-08	1.9629033862835734e-09
44	2.424328192670933e-10	8.096908805861253e-09	-9.9824981612283e-09	8.857550802299906e-09
45	9.149032505714473e-09	-2.2847308359147554e-09	-3.008952255281215e-09	5.723559417638686e-09
46	6.635828586208242e-09	-4.9719979890168215e-09	1.84135599506548e-09	6.142504016174555e-10
47	1.1666307982897383e-09	-2.731652498819108e-09	2.578316956027738e-09	-1.873707879296364e-09
48	-1.838186950411281e-09	9.650938082117517e-12	1.1498115602637843e-09	-1.629026547754918e-09
49	-1.8275709185209517e-09	1.11729709200205e-09	-2.0133117668926342e-10	-4.378274481685687e-10
50	-5.985441173186968e-10	8.186810394287303e-10	-6.155089977099016e-10	3.396976461623196e-10
51	3.0200502605290666e-10	1.4868241119982763e-10	-3.7133201593480423e-10	4.2802200128248776e-10
52	4.655556783727171e-10	-2.23231465071044e-10	-2.3245416374045684e-11	1.7706639100469632e-10
53	2.2000106679456865e-10	-2.2476212802932996e-10	1.3378979389277644e-10	-4.358458032799901e-11
54	-2.7237274037694327e-11	-7.474976522497938e-11	1.0794265098685499e-10	-1.0404452175222787e-10
55	-1.0946201578517165e-10	3.631117495255307e-11	2.5096846508535426e-11	-5.888569895600378e-11
56	-6.951972333736327e-11	5.711091862996646e-11	-2.5390597901014435e-11	-1.0693009259414337e-12
57	-6.697712844400158e-12	2.7289451770265517e-11	-2.889202852446317e-11	2.314341948197919e-11
58	2.3320684102891915e-11	-3.118354699820834e-12	-1.0952153843128222e-11	1.747298049122462e-11
59	1.9890493933088998e-11	-1.3385795185722807e-11	3.678313214661112e-12	3.4585311523032526e-12
60	5.166119228793907e-12	-8.587403424745504e-12	7.15882257320015e-12	-4.5546253650423724e-12
61	-4.280024538426147e-12	-8.822353840803867e-13	3.77554200198203e-12	-4.75865536620678e-12
62	-5.250483460914572e-12	2.8403396098726484e-12	-1.2969362740586824e-13	-1.6524035309419212e-12
63	-2.126109890054659e-12	2.449620738159228e-12	-1.6298261679941843e-12	7.173578129141433e-13
64	5.684729219204922e-13	6.491502266196891e-13	-1.147186753170874e-12	1.1996454752234689e-12
65	1.2825381712021501e-12	-5.175886663068448e-13	-1.8222450078683938e-13	5.916624357777154e-13
66	7.131906382646208e-13	-6.448596997814349e-13	3.320492413344205e-13	-5.193658805857666e-14
67	3.844968505042409e-15	-2.644075846550062e-13	3.1851123621514363e-13	-2.7868148583310927e-13
68	-2.8700337461546443e-13	6.740566307321194e-14	9.954902258685966e-14	-1.8406097853811026e-13
69	-2.128571452349313e-13	1.570772780087885e-13	-5.61509558387536e-14	-2.2253850940849304e-14
70	-4.007213942526393e-14	8.824868067050222e-14	-8.179451726939333e-14	5.84170412948775e-14
71	5.700140931228851e-14	1.1348507845795572e-15	-3.739863183094293e-14	5.205084378367293e-14
72	5.824974517532603e-14	-3.5027842971110904e-14	5.70726439126841e-15	1.458017377193053e-14
73	1.9719117907104034e-14	-2.6248959240014133e-14	1.940014722513273e-14	-1.0418881364154991e-14
74	-9.154737256911515e-15	-5.0897346384950766e-15	1.1963168719906513e-14	-1.3595694956071576e-14
75	-1.47534453592561e-14	6.920206058826333e-15	9.233601314327466e-16	-5.775133388631066e-15
76	-7.141218694547133e-15	7.16312891169112e-15	-4.181923905191938e-15	1.2734509078506925e-15
77	7.382231083130997e-16	2.4612538015111605e-15	-3.4540104786455087e-15	3.2844796941893438e-15
78	3.4456022899753763e-15	-1.099026330295082e-15	-8.433798017396504e-16	1.9005432273437362e-15
79	2.236673326650786e-15	-1.8093399411916793e-15	7.8277112269574705e-16	6.441663545124952e-17
80	2.4639939133993856e-16	-8.854175468660643e-16	9.190232068714464e-16	-7.249370829740828e-16
81	-7.275599102127323e-16	8.344562517815693e-17	3.584821528819166e-16	-5.598827602902031e-16
82	-6.357697225167597e-16	4.2125793550106403e-16	-1.095641160910745e-16	-1.1758323770147782e-16
83	-1.7238599346558918e-16	2.762220640414516e-16	-2.26345441631512e-16	1.409648561653209e-16
84	1.3145827698000763e-16	3.216203952571686e-17	-1.2211161524587442e-16	1.5156408034728605e-16
85	1.668365204582962e-16	-8.857583971390837e-17	2.0848955420955826e-18	5.4296035059903294e-17
86	6.940309677299697e-17	-7.828056532812578e-17	5.115981665021811e-17	-2.162089962856915e-17
87	-1.6705525087941397e-17	-2.1634473981320307e-17	3.681698864952769e-17	-3.798282873068005e-17
88	-4.0503446467393734e-17	1.588494092116983e-17	6.314141656868421e-18	-1.917675379543884e-17
89	-2.303001145410692e-17	2.0486648941032237e-17	-1.0313522593339693e-17	1.3177492238620566e-18
90	-4.946976189714579e-19	8.626960091017685e-18	-1.0158900551197812e-17	8.763372574829199e-18
91	8.994958481147996e-18	-1.9743251674702973e-18	-3.287755288971315e-18	5.916145836396422e-18
92	6.823200796930669e-18	-4.959421633609981e-18	1.7080004348883332e-18	7.941700313393503e-19
93	1.367836999959689e-18	-2.84882075741846e-18	2.593553506582582e-18	-1.8195862575080993e-18
94	-1.7658658332006175e-18	-8.186698784808016e-20	1.215281225483551e-18	-1.6623365691975142e-18
95	-1.855919519833506e-18	1.0974602408380763e-18	-1.592935642458568e-19	-4.843644893797464e-19
96	-6.487132549116219e-19	8.412289756145022e-19	-6.111509611122143e-19	3.189633952670852e-19
97	2.7663861826433057e-19	1.7332303104377756e-19	-3.851990014830591e-19	4.316641543171132e-19
98	4.672939524124859e-19	-2.1426496501267747e-19	-3.5221162745963176e-20	1.8817119525379402e-19
99	2.316024908985407e-19	-2.281802850726127e-19	1.3061079670785512e-19	-3.689070924915549e-20
